Følgeseddel,Målt konsistens [mm],Målt densitet [kg/m3],Målt luftinnhold [%],Sylinder 28 døgn,U0-22 GJENVUNN 332,U0-4 BREDING,U0-4 VASSFJELL,U0-8 BJØRSET,U0-8 FORSET,U0-8 FORSET 2,U16-22 FORSET,U16-22 MERAFSTAD,U8-16 FORSET,U8-16 MEREFSTAD,U8-16 MEREFSTAD II,UAMEX 11 1:19,UAMEX 11 1:9,UANL FA,UBYFERROX 130 RØD,UBYFERROX 960 GUL,UBYFERROX330C SORT,UDELVOCRETE STAB,UDRAMIX 4D 65/60BG,UDRAMIX 4D65/35-BG,UDRAMIX READY,UDRAMIX RL45/50-BN,UFA NORCEM,UFA NORCEM K=0,UFA NORCEM K=0.4,UFA NORCEM K=0.7,UFA NORCEM K=1.0,UFLYVEASKEB4,UGJENBRUKSVANN,UGJENBRUKSVANN 332,UK-VANN,UMASTER CORE 3015,UMASTER EASE 1020,UMASTER EASE 2050,UMASTERLIFE SRA848,UMASTERLIFE SRA900,UMASTERMATRIX SCC,UMASTERMATRIXFC500,UMEYCO FIB PP 6M,UMEYCO TCC 735,UMINIBARS BASALT,UNATRIUMNITRAT,UPOZZOLITH R 433,URESCON T,USA,USCHWENK CEM 111/B,USILIKA 0,USILIKA 1,USILIKA 2,USILIKA ELKEM,USTD-FA KJØPSVIK,UTESTSAND 0-8,UV-VANN,UX-SEED
2022389,-0.18253332515126194,-0.02654676517076715,0.7390092352607908,0.15334581053402443,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,1.1270692550785864,-0.5301882059924602,-0.40561921747926233,-0.8082846939413134,-0.48289493086691293,1.2996392760491509,-0.045379596685088154,1.242466206929815,-1.4819378182331726,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,-0.4930599935606471,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,-0.7774332212682487,1.0847725172106701,-0.5048253560442371,1.706414881902467,-1.073449313376104,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,3.73686907821516,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,0.16001152458137122,-0.02753452528440015,0.6283698698553097,-0.03146610683697754,-0.845848483215548,-0.40457428765101155
2022777,2.072089004108405,-0.01983424633397514,0.10432165790111947,-0.4365473366060282,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,0.3408218799398025,-0.5301882059924602,-0.40561921747926233,1.2692505872165738,-0.48289493086691293,-0.07401150243038593,-0.045379596685088154,1.9480766717968898,-1.4819378182331726,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,7.246371303794557,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,-0.4930599935606471,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,-0.7774332212682487,1.3894127910565695,-0.5048253560442371,-0.47969811305997206,0.016294929655990067,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,1.2759308167472756,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,-0.09598269163645204,-0.02753452528440015,0.01902359969693519,-0.03146610683697754,-0.845848483215548,-0.40457428765101155
2044747,-0.18253332515126194,-0.06279436688944402,-0.593834677194519,0.47638253396786373,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,1.0550108116043295,-0.5301882059924602,-0.40561921747926233,-0.8082846939413134,2.6926199714206214,-1.1729945189627087,-0.045379596685088154,-0.4047101137548878,-0.09827088730650489,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,-0.4930599935606471,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,1.1386982831962864,-0.5336402170659886,2.3328800733797848,-0.47969811305997206,-1.073449313376104,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,0.09545251473411265,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,0.272148964357292,-0.02753452528440015,0.7017768040699536,-0.03146610683697754,-0.845848483215548,-0.40457428765101155
2025294,0.19323706305868252,-0.15542712683717383,-0.5303659194585517,-0.5348628611293708,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,-0.2085216720504328,-0.5301882059924602,-0.40561921747926233,-0.8082846939413134,-0.48289493086691293,-1.1729945189627087,-0.045379596685088154,-0.4047101137548878,-1.4819378182331726,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,-0.4930599935606471,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,1.8923647241262684,-1.017756019674672,-0.5048253560442371,-0.47969811305997206,0.5711359082199836,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,1.9513649692604988,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,0.3157113380426984,-0.02753452528440015,1.058861688766773,-0.03146610683697754,-0.845848483215548,-0.40457428765101155
2018036,4.648800237548024,-0.11515201381642175,-0.3399596462506505,0.4202022342402388,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,0.6616391579586965,-0.5301882059924602,-0.40561921747926233,-0.8082846939413134,-0.48289493086691293,1.3105396890779266,-0.045379596685088154,-0.4047101137548878,1.3770986497752578,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,2.478705315687351,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,-0.7774332212682487,0.7103395877739926,-0.5048253560442371,2.7091958022492824,-1.073449313376104,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,-1.4681925228307477,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,0.9361819829838266,-0.02753452528440015,0.2929890686212403,-0.03146610683697754,0.5556964502926617,1.8839703073940337
2019812,-0.8267111335111668,0.11307362663450675,-0.3399596462506505,1.2348165802907891,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,0.38557013609321644,-0.5301882059924602,-0.40561921747926233,1.2594685092411946,-0.48289493086691293,-0.05938588232843277,-0.045379596685088154,1.6106967765706601,-1.4819378182331726,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,-0.4930599935606471,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,-0.7774332212682487,-0.8057989805661958,-0.5048253560442371,1.4169692475538123,-1.073449313376104,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,2.502702786552594,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,0.09591117433908974,-0.02753452528440015,0.4599012595718545,-0.03146610683697754,1.5341886927589243,-0.40457428765101155
2034569,4.595118753518032,-0.07219189326095285,0.16779041563708638,0.15334581053402443,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,0.6756913390278871,-0.5301882059924602,-0.40561921747926233,-0.8082846939413134,-0.48289493086691293,1.3333505658452347,-0.045379596685088154,-0.4047101137548878,1.1039791342895773,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,2.372965193530722,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,-0.7774332212682487,1.3725281390373736,-0.5048253560442371,-0.47969811305997206,1.2232446761042084,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,0.016311240064712223,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,0.9429246230199889,-0.02753452528440015,0.3248667901289619,-0.03146610683697754,-0.845848483215548,1.8908536246804826
2021078,-0.0751703570912778,0.06474349100960425,-0.8477097081383874,-1.7567843802051957,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,1.314514982708662,-0.5301882059924602,-0.40561921747926233,-0.8082846939413134,-0.48289493086691293,1.5561823048646781,-0.045379596685088154,-0.4047101137548878,-1.4819378182331726,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,-0.4930599935606471,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,-0.7774332212682487,1.3038313317865933,-0.5048253560442371,0.9032644419788054,-1.073449313376104,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,-0.5849970140002995,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,-1.7743593115532625,-0.02753452528440015,0.0212291658863382,-0.03146610683697754,-0.845848483215548,-0.40457428765101155
2046718,-0.0751703570912778,-0.21583979636830194,1.3102280548844945,-1.3916124319756387,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,-1.2195964869922788,-0.5301882059924602,-0.40561921747926233,-0.8082846939413134,2.5877413769077378,-1.1729945189627087,-0.045379596685088154,-0.4047101137548878,1.1881167165811017,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,-0.4930599935606471,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,1.4713615097523773,-0.949523473414201,1.5168933762671521,-0.47969811305997206,-1.073449313376104,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,-0.09374470172158611,0.0,-0.10262941572793081,-0.09864582847337111,-0.04712773224601742,2.0157460563812504,-1.7743593115532625,-0.02753452528440015,0.6961830604843873,-0.03146610683697754,-0.845848483215548,-0.40457428765101155
2046182,0.03219261096870633,0.00701582901319292,-0.6573034349304862,0.5466079086273938,-0.04771631024021962,-0.053041291504915995,-0.2170928943274486,-0.03893923853865958,1.0600311359570358,-0.5301882059924602,-0.40561921747926233,-0.8082846939413134,2.668076376897697,-1.1729945189627087,-0.045379596685088154,-0.4047101137548878,-0.10486715741834476,-0.15361520821455069,-0.05513174133144974,0.0,-0.03895428401687025,-0.17491168253723322,-0.08696854771094048,-0.15928290087749652,0.0,-0.14686916634881658,-0.2178086978096948,-0.0862157525110409,-0.13247714970104071,-0.4930599935606471,-0.33603551271755305,-0.08149102701482112,-0.1794294535959945,1.3248237014396225,-0.8867836585060266,2.342676850107887,-0.47969811305997206,-1.073449313376104,0.0,-0.046838953922999964,-0.1853948179187595,0.0,-0.23404733061830185,-0.03895443880614137,-0.09933316663053454,-0.04772735940413979,0.10720944209814146,0.0,7.841643848891969,-0.09864582847337111,-0.04712773224601742,-0.40245058144560864,0.1932802225468514,-0.02753452528440015,0.714203447832109,-0.03146610683697754,-0.845848483215548,-0.40457428765101155
