,0
Målt konsistens [mm],237.00151630022745
Målt densitet [kg/m3],2405.7740712661107
Målt luftinnhold [%],4.035633055344959
Sylinder 28 døgn,51.808188021228204
U0-22 GJENVUNN 332,0.21241930174520235
U0-4 BREDING,2.8560854434189986
U0-4 VASSFJELL,8.121693826129276
U0-8 BJØRSET,1.8443912707634167
U0-8 FORSET,856.0086118570342
U0-8 FORSET 2,106.45081025503387
U16-22 FORSET,77.94942180677813
U16-22 MERAFSTAD,236.32842167049475
U8-16 FORSET,92.26527086684811
U8-16 MEREFSTAD,316.4954412265337
U8-16 MEREFSTAD II,1.2004305209220913
UAMEX 11 1:19,0.5268114845982265
UAMEX 11 1:9,1.6789424696615987
UANL FA,8.730081348922695
UBYFERROX 130 RØD,0.06064831310831288
UBYFERROX 960 GUL,0.0
UBYFERROX330C SORT,0.039518025669032064
UDELVOCRETE STAB,0.0261459659395939
UDRAMIX 4D 65/60BG,0.15509006524874314
UDRAMIX 4D65/35-BG,0.615898583963717
UDRAMIX READY,0.0
UDRAMIX RL45/50-BN,0.4945451860159323
UFA NORCEM,3.0273876356861824
UFA NORCEM K=0,0.6832889244545665
UFA NORCEM K=0.4,0.947482069416832
UFA NORCEM K=0.7,13.076760656406197
UFA NORCEM K=1.0,5.910525220345406
UFLYVEASKEB4,0.40138243010399044
UGJENBRUKSVANN,1.3881343105217727
UGJENBRUKSVANN 332,21.994658862056898
UK-VANN,20.55694987477853
UMASTER CORE 3015,0.6806690728425173
UMASTER EASE 1020,0.8164219352099589
UMASTER EASE 2050,2.2517228727072496
UMASTERLIFE SRA848,0.0
UMASTERLIFE SRA900,0.010715491535455163
UMASTERMATRIX SCC,0.07374004886860827
UMASTERMATRIXFC500,0.0
UMEYCO FIB PP 6M,0.10130190799917425
UMEYCO TCC 735,0.003782791638618331
UMINIBARS BASALT,0.053770641715469726
UNATRIUMNITRAT,0.028379857155872955
UPOZZOLITH R 433,0.5813243720416357
URESCON T,0.0
USA,0.025714194312024246
USCHWENK CEM 111/B,3.4739546603899654
USILIKA 0,0.02670359847385814
USILIKA 1,2.883011390471966
USILIKA 2,15.674172074541548
USILIKA ELKEM,0.013431004129933538
USTD-FA KJØPSVIK,357.93702598151896
UTESTSAND 0-8,0.9220911279100986
UV-VANN,19.879552357522456
UX-SEED,0.6972526273951458
